participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
6,DUO_CARRY,BOTTOM,0,0,0,0,12,False,1,10,8332,7750,101941,100244,1696,0,15065,14334,730,0,1258,32,11,349,9498,16318,12485,3498,334,623,2,1,0,1666,1666,156,0,0,0,4,2,0,0,0,2,2,2,3,4,0,0,0
7,SOLO,MIDDLE,0,0,0,0,13,False,3,7,8211,7350,101804,90143,8539,3121,13250,12019,669,562,1279,69,14,536,16159,17901,10489,7132,280,432,1,0,0,570,6813,180,1,0,1,2,0,0,0,0,1,0,0,9,5,1,0,0
8,SOLO,TOP,0,0,0,0,13,False,2,1,7858,6950,71812,67888,878,3044,8988,6156,518,2312,415,164,4,512,13495,16258,12730,3065,462,3627,4,0,0,0,0,163,6,6,0,1,0,0,0,0,1,0,0,10,8,0,0,0
9,NONE,JUNGLE,0,0,0,0,12,False,6,9,8525,7775,88682,61743,22729,4210,13345,6590,5235,1520,0,323,24,366,19515,24534,18397,6112,23,9682,1,0,0,0,0,15,75,52,23,5,0,0,0,0,1,1,2,15,8,0,0,2
10,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,7,10,6596,6525,9844,2641,7202,0,5406,1656,3749,0,0,154,22,256,11627,17121,10654,6058,407,2189,1,0,0,0,196,7,0,0,0,2,0,0,0,0,1,0,0,35,17,2,0,1
1,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,6,4,5904,5200,15607,6298,9309,0,3461,674,2786,0,0,95,32,625,10750,15181,7916,6998,266,2792,5,0,0,131,480,23,1,0,1,0,0,0,0,0,0,0,0,40,17,3,0,4
2,SOLO,MIDDLE,0,0,0,0,12,False,2,3,7553,6985,77272,13238,62914,1119,9651,463,9188,0,0,326,40,696,6744,9852,2625,7216,10,2005,1,0,0,322,2503,139,1,1,0,1,0,0,0,0,1,0,0,12,8,1,0,0
3,DUO_CARRY,BOTTOM,0,0,0,0,13,False,3,4,9702,8950,140484,116355,23488,640,12448,10589,1510,348,1123,98,21,618,6204,13366,8717,4533,116,3031,3,0,0,2445,2761,213,19,9,10,2,0,0,0,0,1,0,0,9,7,0,0,0
4,NONE,JUNGLE,0,0,0,0,11,False,4,6,7550,7125,103792,81281,17350,5160,9331,7914,1312,104,0,659,18,611,17206,24342,17216,6733,392,6797,1,1,0,420,11387,21,82,51,31,1,0,0,0,0,1,0,0,53,28,4,0,4
5,SOLO,TOP,0,0,0,0,13,False,3,6,9488,9300,129344,128224,0,1119,11536,11536,0,0,580,84,10,508,23243,30847,21248,9012,586,10211,1,2,0,4338,6438,167,20,7,13,3,0,0,0,0,1,1,2,10,7,0,0,2
