participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
8,DUO_CARRY,BOTTOM,0,0,0,0,18,True,14,9,18372,16800,240511,225274,1934,13302,41086,35733,1161,4190,1108,1017,18,480,16318,35259,18174,15316,1769,4419,3,1,1,8591,11181,279,38,16,22,7,0,0,0,0,1,2,3,25,11,4,0,0
9,NONE,JUNGLE,0,0,0,0,18,True,16,6,15949,13400,204682,145572,40571,18538,16201,12703,3178,320,0,949,27,1064,39677,35908,19935,15087,886,6071,1,0,0,2375,10002,87,133,82,51,6,0,0,0,0,1,2,3,65,33,7,0,5
10,DUO_SUPPORT,BOTTOM,0,0,0,0,17,True,26,2,13402,13000,48286,15766,20508,12012,11523,2503,9019,0,272,1132,66,1298,49786,24134,12015,11681,438,11215,5,0,0,1320,3110,79,1,0,1,1,0,0,0,0,1,0,0,130,59,19,0,12
1,SOLO,TOP,0,0,0,0,17,False,7,10,13043,12650,176920,167745,8895,279,16488,14140,2068,279,0,269,17,706,28297,31287,17657,12220,1409,1698,1,3,0,5197,11637,241,5,1,4,2,0,0,0,0,1,0,0,21,13,1,0,0
2,DUO_SUPPORT,BOTTOM,0,0,0,0,15,False,16,9,11269,10655,32736,10850,17695,4190,11815,2710,6915,2190,0,169,56,546,32370,26996,18166,8122,707,8158,5,0,0,1030,1313,29,0,0,0,4,0,0,0,0,1,1,2,69,24,10,0,9
3,NONE,JUNGLE,0,0,0,0,16,False,13,8,11860,11600,157323,126242,2072,29008,15397,12649,0,2748,0,821,38,547,43315,45402,30258,13914,1229,12125,1,0,0,520,7707,42,105,78,27,2,0,0,0,0,1,0,0,37,14,3,0,5
4,SOLO,MIDDLE,0,0,0,0,17,False,5,9,16082,14675,163740,26274,135188,2277,38810,4642,33178,989,826,592,22,678,18941,35439,23483,10219,1737,2562,1,1,0,2077,2077,224,4,3,1,16,2,1,0,0,3,3,9,38,18,4,0,3
5,DUO_CARRY,BOTTOM,0,0,0,0,15,False,8,8,13708,13525,166491,158074,3932,4485,22770,21108,720,941,502,92,5,542,17582,31389,20118,10559,711,4372,3,1,0,2095,7839,245,14,4,10,6,1,0,0,0,2,1,2,26,11,4,0,5
6,NONE,JUNGLE,0,0,0,0,17,True,12,4,15066,12675,157200,141804,5562,9834,25207,20679,2909,1618,0,509,19,755,24240,31952,21029,10176,746,11331,1,0,0,2176,11527,36,87,52,35,15,1,0,0,0,2,3,6,30,11,4,0,6
7,DUO_CARRY,BOTTOM,0,0,0,0,16,True,16,10,12992,12050,129497,126632,1518,1346,22061,20169,1441,451,458,480,23,398,9817,23757,13735,9296,725,2783,5,2,0,6450,6450,182,33,14,19,2,0,0,0,0,1,0,0,35,16,4,0,6
8,SOLO,MIDDLE,0,0,0,0,18,True,8,6,14972,13475,202387,13974,184219,4193,32104,929,29986,1188,0,790,36,715,9229,19838,11814,7770,254,2270,1,2,0,4875,6349,245,18,15,3,6,0,0,0,0,1,1,3,36,18,2,0,7
9,SOLO,TOP,0,0,0,0,18,True,16,5,20409,18300,302126,268112,24360,9653,44867,39713,3872,1282,1110,448,39,673,42824,35419,21902,7404,6113,7169,1,2,1,8770,40390,265,17,0,17,19,5,1,0,0,3,6,6,22,10,0,0,0
10,DUO_SUPPORT,BOTTOM,0,0,0,0,16,True,26,5,11992,10225,55652,3466,45911,6275,16260,466,14538,1255,0,436,39,698,38386,29103,17666,10861,576,6040,7,1,0,3000,4136,56,3,0,3,2,1,0,0,0,2,1,2,81,44,8,0,11
