accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
205815378,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,13,2,9114,7175,12607,7239,5367,0,5005,734,4270,0,0,64,20,1051,7767,13567,7417,5882,268,8029,5,2,0,1289,1660,17,0,0,0,1,0,0,0,0,1,0,0,49,22,9,0,5
200963620,DUO_CARRY,BOTTOM,0,0,0,0,15,True,8,1,13375,11825,147640,141337,4303,2000,15357,12700,2372,284,407,2782,44,1483,6664,15605,9156,6069,380,4000,3,1,0,6217,20592,220,6,2,4,5,0,0,0,0,1,1,5,35,12,3,0,3
233047325,NONE,JUNGLE,0,0,0,0,16,True,7,5,14146,11890,169412,156275,7016,6120,17636,14163,2789,684,0,516,11,543,18264,29549,22715,6219,614,12532,1,1,0,4491,7626,41,103,61,42,11,2,1,0,0,3,4,3,17,10,4,0,1
202120134,SOLO,TOP,0,0,0,0,15,True,5,3,12338,10625,114625,105040,9328,256,11693,10051,1641,0,0,147,5,669,9623,17245,9433,7649,162,1762,1,2,1,6194,7227,190,17,6,11,5,1,0,0,0,2,1,4,27,14,4,0,4
48777110,SOLO,MIDDLE,0,0,0,0,16,True,4,5,13504,11495,160237,20486,139095,656,11826,1669,10013,144,0,402,27,529,8591,18304,9738,7653,912,3154,1,0,0,7374,7374,239,1,0,1,4,0,0,0,0,1,1,2,29,14,2,0,4
201065043,DUO_CARRY,BOTTOM,0,0,0,0,14,False,1,5,10861,10550,141625,120527,20245,852,16867,15296,1431,140,1293,134,12,489,7186,17384,13034,4222,128,4688,2,0,0,346,346,232,11,8,3,5,1,0,0,0,2,2,3,26,11,3,0,2
201138934,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,8,7,7507,6900,29815,6630,22541,644,16411,1592,14175,644,0,219,35,495,5238,14641,8343,6052,246,987,2,0,0,63,440,30,0,0,0,0,0,0,0,0,0,0,0,83,32,17,0,8
36176854,SOLO,TOP,0,0,0,0,15,False,2,4,9825,9608,131040,93111,37929,0,6122,1120,5001,0,0,36,4,225,10097,13301,10522,2591,188,178,1,0,0,997,997,222,4,2,2,1,0,0,0,0,1,0,0,15,10,1,0,1
47473567,SOLO,MIDDLE,0,0,0,0,15,False,2,5,10270,9550,101110,17404,82821,884,11482,1510,9327,644,465,68,9,678,7439,14877,10632,3932,312,3335,1,0,0,0,1729,188,6,5,1,6,1,0,0,0,2,2,2,18,8,3,0,2
201422195,NONE,JUNGLE,0,0,0,0,14,False,7,5,9825,9500,142325,127676,4026,10622,12352,10817,627,908,422,932,12,496,12817,21062,14983,5841,238,5762,1,0,0,248,7323,40,74,61,13,4,0,0,0,0,1,1,2,32,14,3,0,3
