accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
200750180,DUO_CARRY,BOTTOM,0,0,0,0,14,False,8,3,10887,10050,129908,109915,15066,4925,11385,9022,2351,11,319,419,24,517,7091,15997,8311,7629,56,3287,3,0,0,3795,9048,218,7,7,0,3,0,0,0,0,1,0,0,15,7,3,0,1
472214,NONE,JUNGLE,0,0,0,0,13,False,6,6,8941,8750,114007,24017,77335,12653,9533,880,8532,121,0,227,21,527,10043,27387,15901,11211,274,8654,1,1,0,987,9660,28,69,56,13,4,0,0,0,0,1,1,3,44,17,5,0,3
48984400,SOLO,MIDDLE,0,0,0,0,15,False,1,5,11285,9335,152692,10879,138949,2862,19174,674,17258,1241,0,399,28,612,6891,17366,7363,9789,214,636,1,1,0,2224,2224,229,11,2,9,6,0,0,0,0,1,2,2,19,10,3,0,2
201114720,DUO_CARRY,BOTTOM,0,0,0,0,14,True,2,5,10421,9950,130628,125155,4499,973,7601,6910,690,0,580,49,0,500,7456,17320,10456,6524,338,3055,3,0,0,4074,9453,172,28,19,9,0,0,0,0,0,0,0,0,24,11,3,0,2
34570526,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,4,5,8456,8175,21458,7639,13351,467,8470,1619,6851,0,0,30,19,367,5950,15134,6566,8365,202,9139,5,1,0,2490,4585,12,2,0,2,1,0,0,0,0,1,0,0,36,17,5,0,5
47740857,NONE,JUNGLE,0,0,0,0,15,True,1,3,13085,12800,155588,16726,137774,1086,23503,508,22995,0,0,4339,22,406,7267,16085,7318,8766,0,7787,1,2,2,6260,11624,221,11,1,10,8,2,0,0,0,2,3,4,14,11,2,0,0
50465651,SOLO,TOP,0,0,0,0,16,True,3,3,11869,10408,123567,89502,30112,3952,13365,8310,4926,128,0,161,10,716,13466,20861,12063,7873,923,8617,1,1,0,3402,10562,172,5,1,4,6,0,0,0,0,1,2,3,20,12,0,0,3
202944436,NONE,JUNGLE,0,0,0,0,15,True,6,2,12587,11625,167278,148807,7586,10884,15720,12649,2217,854,419,1025,17,1119,12213,16359,8059,6060,2238,8152,1,4,1,11055,25331,62,85,55,30,7,1,0,0,0,2,2,4,16,10,3,0,0
34570526,DUO_SUPPORT,BOTTOM,0,0,0,0,18,False,16,9,14409,15850,65479,11297,51602,2579,20529,3135,15049,2343,0,449,66,856,26527,33348,16956,12921,3470,10542,7,0,0,1457,3061,44,2,0,2,5,0,0,0,0,1,2,2,86,39,12,0,2
202739333,NONE,JUNGLE,0,0,0,0,18,False,6,10,16161,15145,197851,180072,8336,9442,24137,18787,4181,1168,0,661,16,830,45715,58379,37990,17087,3302,17955,1,0,0,1543,11938,46,102,69,33,12,0,0,0,0,1,3,5,30,10,4,0,6
